episode,reward,avg_reward_50,steps,crashed,min_d
1,-1336.0207,-1336.0207,882,False,0.3064
2,-1204.6438,-1270.3323,882,False,0.4818
3,-1861.2473,-1467.3039,856,True,0.2463
4,-1301.1713,-1425.7708,882,False,0.4887
5,-1198.0499,-1380.2266,882,False,0.4567
6,-1800.6284,-1450.2936,805,True,0.2487
7,-1331.6994,-1433.3515,882,False,0.3827
8,-1331.047,-1420.5635,882,False,0.2623
9,-1190.9138,-1395.0468,882,False,0.4956
10,-1219.8563,-1377.5278,882,False,0.4983
11,-1196.1482,-1361.0387,882,False,0.4211
12,-1812.8137,-1398.6867,823,True,0.2476
13,-1285.742,-1389.9986,882,False,0.4936
14,-1856.5318,-1423.3224,860,True,0.2466
15,-1211.8765,-1409.226,882,False,0.4881
16,-1171.815,-1394.3878,882,False,0.5424
17,-1250.0939,-1385.8999,882,False,0.6928
18,-1212.7692,-1376.2816,882,False,0.444
19,-1898.8083,-1403.783,879,True,0.2486
20,-1281.697,-1397.6787,882,False,0.5817
21,-1316.9806,-1393.8359,882,False,0.2668
22,-1191.729,-1384.6492,882,False,0.4181
23,-1797.579,-1402.6027,802,True,0.2496
24,-1874.1963,-1422.2524,853,True,0.248
25,-1847.1804,-1439.2496,868,True,0.2484
26,-1179.733,-1429.2682,882,False,0.5959
27,-1224.389,-1421.68,882,False,0.524
28,-1212.3887,-1414.2053,882,False,0.3863
29,-1177.519,-1406.0438,882,False,0.5103
30,-1290.4898,-1402.192,882,False,0.4801
31,-1314.391,-1399.3597,882,False,0.2875
32,-1790.507,-1411.583,800,True,0.248
33,-1182.5554,-1404.6428,882,False,0.4245
34,-1185.821,-1398.2069,882,False,0.421
35,-1232.392,-1393.4693,882,False,0.5287
36,-1169.9214,-1387.2596,882,False,0.5601
37,-1198.5739,-1382.16,882,False,0.5161
38,-1237.008,-1378.3402,882,False,0.5392
39,-1174.709,-1373.1189,882,False,0.543
40,-1283.6144,-1370.8813,882,False,0.4364
41,-1211.769,-1367.0005,882,False,0.4795
42,-1867.7214,-1378.9224,866,True,0.2492
43,-1295.8149,-1376.9897,882,False,0.454
44,-1194.7363,-1372.8476,882,False,0.4326
45,-1835.3879,-1383.1262,850,True,0.246
46,-1343.4352,-1382.2634,882,False,0.2618
47,-1206.7009,-1378.528,882,False,0.4292
48,-1171.6041,-1374.2171,882,False,0.4543
49,-1300.7953,-1372.7187,882,False,0.5145
50,-1170.8597,-1368.6815,882,False,0.4546
51,-1164.4283,-1365.2497,882,False,0.5651
52,-1223.136,-1365.6195,882,False,0.3593
53,-1335.1175,-1355.0969,882,False,0.2732
54,-1294.1102,-1354.9557,882,False,0.5973
55,-1299.8293,-1356.9913,882,False,0.4221
56,-1332.0865,-1347.6205,882,False,0.2732
57,-1219.5451,-1345.3774,882,False,0.5114
58,-1259.0358,-1343.9371,882,False,0.7229
59,-1182.8426,-1343.7757,882,False,0.5142
60,-1193.2806,-1343.2442,882,False,0.4986
61,-1282.6964,-1344.9752,882,False,0.444
62,-1224.6822,-1333.2125,882,False,0.5313
63,-1257.152,-1332.6407,882,False,0.6853
64,-1323.5471,-1321.981,882,False,0.3058
65,-1271.4232,-1323.172,882,False,0.5707
66,-1265.5115,-1325.0459,882,False,0.6907
67,-1245.0642,-1324.9453,882,False,0.6587
68,-1170.4457,-1324.0988,882,False,0.4392
69,-1212.096,-1310.3646,882,False,0.3859
70,-1208.2413,-1308.8955,882,False,0.4789
71,-1191.1064,-1306.378,882,False,0.565
72,-1219.9526,-1306.9425,882,False,0.4461
73,-1861.8195,-1308.2273,857,True,0.2456
74,-1164.2739,-1294.0288,882,False,0.531
75,-1208.2909,-1281.251,882,False,0.4198
76,-1181.485,-1281.2861,882,False,0.4621
77,-1175.3721,-1280.3057,882,False,0.4488
78,-1286.4974,-1281.7879,882,False,0.5375
79,-1250.4014,-1283.2456,882,False,0.698
